{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
168          4615.9873      0.1392          0.9824      0.9466              0.9430          0.9448
169          4649.1495      0.1321          0.9822      0.9432              0.9458          0.9445
170          4683.0233      0.1437          0.9830      0.9468              0.9468          0.9468
171          4716.1067      0.1571          0.9824      0.9457              0.9440          0.9449
172          4738.6184      0.1435          0.9830      0.9468              0.9468          0.9468
173          4762.0890      0.1500          0.9821      0.9440              0.9440          0.9440
174          4790.3219      0.1498          0.9824      0.9457              0.9440          0.9449
175          4817.7641      0.1272          0.9821      0.9440              0.9440          0.9440
176          4845.3041      0.1597          0.9828      0.9476              0.9449          0.9462
177          4871.8083      0.1363          0.9830      0.9485              0.9449          0.9467
178          4898.0287      0.1419          0.9824      0.9466              0.9430          0.9448
179          4924.5450      0.1237          0.9822      0.9457              0.9430          0.9444
180          4951.8891      0.1124          0.9821      0.9465              0.9412          0.9438
181          4978.8339      0.1243          0.9830      0.9476              0.9458          0.9467
182          5006.2060      0.1140          0.9828      0.9476              0.9449          0.9462
183          5039.1395      0.1106          0.9825      0.9466              0.9440          0.9453
184          5073.5381      0.1302          0.9833      0.9502              0.9449          0.9476
185          5107.1401      0.1080          0.9828      0.9492              0.9430          0.9461
186          5141.5770      0.1140          0.9830      0.9476              0.9458          0.9467
187          5175.5070      0.1130          0.9828      0.9492              0.9430          0.9461
188          5209.6608      0.1276          0.9825      0.9475              0.9430          0.9453
189          5243.9158      0.1268          0.9825      0.9492              0.9412          0.9451
190          5276.9254      0.1097          0.9828      0.9492              0.9430          0.9461
191          5310.4181      0.1293          0.9822      0.9465              0.9421          0.9443
192          5345.6087      0.1133          0.9824      0.9483              0.9412          0.9447
193          5380.0638      0.1003          0.9821      0.9473              0.9402          0.9438
194          5414.3880      0.1106          0.9821      0.9482              0.9393          0.9437
195          5447.4938      0.1128          0.9831      0.9493              0.9449          0.9471
196          5478.9434      0.1035          0.9827      0.9500              0.9412          0.9456
197          5512.4614      0.1035          0.9828      0.9527              0.9393          0.9459
198          5545.6935      0.1094          0.9828      0.9501              0.9421          0.9461
199          5578.5421      0.0977          0.9821      0.9473              0.9402          0.9438
 Accuracy: 0.9813±0.0026
 Precision: 0.9418±0.0103
 Recall: 0.9417±0.0072
 F1: 0.9417±0.0081
